n,vn,an0,an1,an2,an3,an4
1,-411.595748175152000,3.25581048681422,16866.9323149832,-1.28012330752967E-04,-1.06904325566739E-08,-5.88563808866977E-11
2,0.420325481381435,6.51162097362844,33733.8646299664,-2.56024661505934E-04,-2.13808651133478E-08,-1.17712761773395E-10
3,-0.000589969045616,9.76743146044266,50600.7969449496,-3.84036992258901E-04,-3.20712976700218E-08,-1.76569142660093E-10
4,0.000159992261404,-7.41187691005586,-42272.1055203261,5.36329400021227E-04,2.82790171824676E-07,-1.05941485596055E-09
5,-0.080187332604691,-4.15606642324164,-25405.1732053429,4.08317069268260E-04,2.72099739268002E-07,-1.11827123684725E-09
6,39.533301970600600,-0.90025593642742,-8538.2408903598,2.80304738515293E-04,2.61409306711328E-07,-1.17712761773395E-09
7,22639.585659999700000,2.35555455038680,8328.6914246235,1.52292407762326E-04,2.50718874154654E-07,-1.23598399862065E-09
8,-45.099610307254900,5.61136503720102,25195.6237396066,2.42800770093589E-05,2.40028441597980E-07,-1.29484037950734E-09
9,0.090916999939499,8.86717552401524,42062.5560545898,-1.03732253743608E-04,2.29338009041306E-07,-1.35369676039404E-09
10,-0.000189992261404,12.12298601082940,58929.4883695730,-2.31744584496575E-04,2.18647576484632E-07,-1.41255314128074E-09
11,0.000679979374561,-1.80051187285484,-17076.4817807195,5.60609477030586E-04,5.22818613422657E-07,-2.35425523546790E-09
12,-1.372570109980570,1.45529861395938,-209.5494657363,4.32597146277619E-04,5.12128180865983E-07,-2.41311161635460E-09
13,769.025703698701000,4.71110910077360,16657.3828492469,3.04584815524652E-04,5.01437748309309E-07,-2.47196799724130E-09
14,-3.997613429690850,7.96691958758782,33524.3151642301,1.76572484771685E-04,4.90747315752635E-07,-2.53082437812799E-09
15,0.012969592654144,11.22273007440200,50391.2474792133,4.85601540187179E-05,4.80056883195961E-07,-2.58968075901469E-09
16,-0.000040000000000,14.47854056121620,67258.1797941965,-7.94521767342492E-05,4.69366450639287E-07,-2.64853713990139E-09
17,0.000090000000000,0.55504267753196,-8747.7903560961,7.12901884792912E-04,7.73537487577312E-07,-3.59023923408855E-09
18,-0.056839245216214,3.81085316434618,8119.1419588871,5.84889554039945E-04,7.62847055020638E-07,-3.64909561497525E-09
19,36.123813073253800,7.06666365116040,24986.0742738703,4.56877223286978E-04,7.52156622463964E-07,-3.70795199586195E-09
